,caseNumber,docDate,documentClass,from,messageNumber,originalLink,pdfLink,postedDate,subject,to,vol,docNum,dateStr,subjectStr
146,F-2015-04841,1347422400000,HRC_Email_296,"Sherman, Wendy R",,," ""<a href='/C05739575/'>Link</a>"" ",1432267200000,ONE MORE PHOTO,H,27,C05739575,"Wed, 12 Sep 2012",ONE MORE PHOTO
112,F-2015-04841,1347422400000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739567/'>Link</a>"" ",1432267200000,HEY,H,27,C05739567,"Wed, 12 Sep 2012",HEY
104,F-2015-04841,1347422400000,HRC_Email_296,,,," ""<a href='/C05739565/'>Link</a>"" ",1432267200000,MORE ON LIBYA,H,27,C05739565,"Wed, 12 Sep 2012",MORE ON LIBYA
103,F-2015-04841,1347422400000,HRC_Email_296,H,,," ""<a href='/C05739580/'>Link</a>"" ",1432267200000,H: MAGARIAF ON ATTACK ON US IN LIBYA. SID,Russorv@state.gov,27,C05739580,"Wed, 12 Sep 2012",H: MAGARIAF ON ATTACK ON US IN LIBYA. SID
102,F-2015-04841,1347422400000,HRC_Email_296,,,," ""<a href='/C05739563/'>Link</a>"" ",1432267200000,MORE ON LIBYA,H,27,C05739563,"Wed, 12 Sep 2012",MORE ON LIBYA
101,F-2015-04841,1347422400000,HRC_Email_296,H,,," ""<a href='/C05739583/'>Link</a>"" ",1432267200000,H: MAGARIAF ON ATTACK ON US IN LIBYA. SID,sullivanjj@state.gov,27,C05739583,"Wed, 12 Sep 2012",H: MAGARIAF ON ATTACK ON US IN LIBYA. SID
193,F-2015-04841,1347422400000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739577/'>Link</a>"" ",1432267200000,THE YOUTH OF LIBYA,"Sherman, Wendy R",27,C05739577,"Wed, 12 Sep 2012",THE YOUTH OF LIBYA
169,F-2015-04841,1347422400000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739545/'>Link</a>"" ",1432267200000,WOW,H,27,C05739545,"Wed, 12 Sep 2012",WOW
233,F-2015-04841,1347422400000,HRC_Email_296,"Blumenthal, Sidney",,," ""<a href='/C05739902/'>Link</a>"" ",1432267200000,H: MAGARIAF ON ATTACK ON US IN LIBYA. SID,H,27,C05739902,"Wed, 12 Sep 2012",H: MAGARIAF ON ATTACK ON US IN LIBYA. SID
96,F-2015-04841,1347422400000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739547/'>Link</a>"" ",1432267200000,CHRIS STEVENS,;H,27,C05739547,"Wed, 12 Sep 2012",CHRIS STEVENS
265,F-2015-04841,1347422400000,HRC_Email_296,"McHale, Judith",,," ""<a href='/C05739910/'>Link</a>"" ",1432267200000,LIBYA,H,27,C05739910,"Wed, 12 Sep 2012",LIBYA
255,F-2015-04841,1347422400000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739901/'>Link</a>"" ",1432267200000,UPDATE: BENGHAZI,H,27,C05739901,"Wed, 12 Sep 2012",UPDATE: BENGHAZI
135,F-2015-04841,1347422400000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739569/'>Link</a>"" ",1432267200000,NOT A DRY EYE IN NEA,H,27,C05739569,"Wed, 12 Sep 2012",NOT A DRY EYE IN NEA
274,F-2015-04841,1347422400000,HRC_Email_296,"Coleman, Claire L",,," ""<a href='/C05739907/'>Link</a>"" ",1432267200000,GEN DEMPSEY CALLED.,H,27,C05739907,"Wed, 12 Sep 2012",GEN DEMPSEY CALLED.
280,F-2015-04841,1347422400000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739903/'>Link</a>"" ",1432267200000,WE RECOVERED BOTH BODIES OVERNITE AND ARE LOOKING AT GETTING AT STATEMENT OUT AT 7AM,H,27,C05739903,"Wed, 12 Sep 2012",WE RECOVERED BOTH BODIES OVERNITE AND ARE LOOKING AT GETTING AT STATEMENT OUT AT 7AM
105,F-2015-04841,1347422400000,HRC_Email_296,H,,," ""<a href='/C05739579/'>Link</a>"" ",1432267200000,MORE ON LIBYA,Russorv@state.gov,27,C05739579,"Wed, 12 Sep 2012",MORE ON LIBYA
127,F-2015-04841,1347508800000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739593/'>Link</a>"" ",1432267200000,WASH POST: HILLARY CLINTON TRIES TO CALM ANTI-U.S. SENTIMENT AS PROTESTERS STORM EMBASSY IN YEMEN,H,9,C05739593,"Thu, 13 Sep 2012",WASH POST: HILLARY CLINTON TRIES TO CALM ANTI-U.S. SENTIMENT AS PROTESTERS STORM EMBASSY IN YEMEN
121,F-2015-04841,1347508800000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739597/'>Link</a>"" ",1432267200000,AMERICAN KILLED IN LIBYA WAS ON INTEL MISSION TO TRACK WEAPONS,"Mills, Cheryl D",9,C05739597,"Thu, 13 Sep 2012",AMERICAN KILLED IN LIBYA WAS ON INTEL MISSION TO TRACK WEAPONS
107,F-2015-04841,1347508800000,HRC_Email_296,"Blumenthal, Sidney",,," ""<a href='/C05739587/'>Link</a>"" ",1432267200000,H: MORE MAGARIAF PRIVAT REAX (SENT NOW AS MEMO. SID,H,9,C05739587,"Thu, 13 Sep 2012",H: MORE MAGARIAF PRIVAT REAX (SENT NOW AS MEMO. SID
177,F-2015-04841,1347508800000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739596/'>Link</a>"" ",1432267200000,CONDOLENCES FROM PM NETANYAHU,H,9,C05739596,"Thu, 13 Sep 2012",CONDOLENCES FROM PM NETANYAHU
115,F-2015-04841,1347508800000,HRC_Email_296,H,,," ""<a href='/C05739595/'>Link</a>"" ",1432267200000,QUICK SUMMARY OF POTUS CALLS TO PRESIDENTS OF LIBYA AND EGYPT,Russorv@state.gov,9,C05739595,"Thu, 13 Sep 2012",QUICK SUMMARY OF POTUS CALLS TO PRESIDENTS OF LIBYA AND EGYPT
114,F-2015-04841,1347508800000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739592/'>Link</a>"" ",1432267200000,QUICK SUMMARY OF POTUS CALLS TO PRESIDENTS OF LIBYA AND EGYPT,H,9,C05739592,"Thu, 13 Sep 2012",QUICK SUMMARY OF POTUS CALLS TO PRESIDENTS OF LIBYA AND EGYPT
110,F-2015-04841,1347508800000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739588/'>Link</a>"" ",1432267200000,MORE ON LIBYA,H,9,C05739588,"Thu, 13 Sep 2012",MORE ON LIBYA
191,F-2015-04841,1347508800000,HRC_Email_296,"Strider, Burns",,," ""<a href='/C05739590/'>Link</a>"" ",1432267200000,CNN BELIEF BLOG. PROTHERO,H,9,C05739590,"Thu, 13 Sep 2012",CNN BELIEF BLOG. PROTHERO
167,F-2015-04841,1347508800000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739589/'>Link</a>"" ",1432267200000,AMB STEVENS ,H,9,C05739589,"Thu, 13 Sep 2012",AMB STEVENS 
166,F-2015-04841,1347595200000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739631/'>Link</a>"" ",1432267200000,FW:,H,13,C05739631,"Fri, 14 Sep 2012",FW:
163,F-2015-04841,1347595200000,HRC_Email_296,"Marshall, Capricia P",,," ""<a href='/C05739609/'>Link</a>"" ",1432267200000,YOU DO GREAT WORK - THANKS FOR MAKING OUR HEROS HAVE THE HOMECOMING THEY DESERVED.,"Mills, Cheryl D",13,C05739609,"Fri, 14 Sep 2012",YOU DO GREAT WORK - THANKS FOR MAKING OUR HEROS HAVE THE HOMECOMING THEY DESERVED.
175,F-2015-04841,1347595200000,HRC_Email_296,"Abedin, Huma",,," ""<a href='/C05739606/'>Link</a>"" ",1432267200000,SITUATION REPORT NO. 1 09/14/I,H,13,C05739606,"Fri, 14 Sep 2012",SITUATION REPORT NO. 1 09/14/I
152,F-2015-04841,1347595200000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739605/'>Link</a>"" ",1432267200000,SITUATION REPORT NO. 1 09/14/I,H,13,C05739605,"Fri, 14 Sep 2012",SITUATION REPORT NO. 1 09/14/I
182,F-2015-04841,1347595200000,HRC_Email_296,H,,," ""<a href='/C05739640/'>Link</a>"" ",1432267200000,CNN BELIEF BLOG. PROTHERO,Russorv@state.gov,13,C05739640,"Fri, 14 Sep 2012",CNN BELIEF BLOG. PROTHERO
151,F-2015-04841,1347595200000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739628/'>Link</a>"" ",1432267200000,THANKS,H,13,C05739628,"Fri, 14 Sep 2012",THANKS
185,F-2015-04841,1347595200000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739612/'>Link</a>"" ",1432267200000,PRETTY POWERFUL PIECE ON STANDING UP FOR DIPLOMATS,H,13,C05739612,"Fri, 14 Sep 2012",PRETTY POWERFUL PIECE ON STANDING UP FOR DIPLOMATS
143,F-2015-04841,1347595200000,HRC_Email_296,"Burns, William J",,," ""<a href='/C05739626/'>Link</a>"" ",1432267200000,THANKS,H,13,C05739626,"Fri, 14 Sep 2012",THANKS
139,F-2015-04841,1347595200000,HRC_Email_296,"Russo, Robert V",,," ""<a href='/C05739600/'>Link</a>"" ",1432267200000,"MINI FOR TODAY - FRIDAY, SEPTEMBER 14, 2012",H,13,C05739600,"Fri, 14 Sep 2012","MINI FOR TODAY - FRIDAY, SEPTEMBER 14, 2012"
147,F-2015-04841,1347595200000,HRC_Email_296,"Marshall, Capricia P",,," ""<a href='/C05739619/'>Link</a>"" ",1432267200000,YOU DO GREAT WORK - THANKS FOR MAKING OUR HEROS HAVE THE HOMECOMING THEY DESERVED.,"Mills, Cheryl D",13,C05739619,"Fri, 14 Sep 2012",YOU DO GREAT WORK - THANKS FOR MAKING OUR HEROS HAVE THE HOMECOMING THEY DESERVED.
123,F-2015-04841,1347595200000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739607/'>Link</a>"" ",1432267200000,YOU DO GREAT WORK - THANKS FOR MAKING OUR HEROS HAVE THE HOMECOMING THEY DESERVED.,H,13,C05739607,"Fri, 14 Sep 2012",YOU DO GREAT WORK - THANKS FOR MAKING OUR HEROS HAVE THE HOMECOMING THEY DESERVED.
106,F-2015-04841,1347595200000,HRC_Email_296,"Blumenthal, Sidney",,," ""<a href='/C05739624/'>Link</a>"" ",1432267200000,H: MORSI'S PRIVATE CONVERSATIONS TODAY. SID,H,13,C05739624,"Fri, 14 Sep 2012",H: MORSI'S PRIVATE CONVERSATIONS TODAY. SID
111,F-2015-04841,1347595200000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739634/'>Link</a>"" ",1432267200000,REMARKS,H,13,C05739634,"Fri, 14 Sep 2012",REMARKS
187,F-2015-04841,1347681600000,HRC_Email_296,"Hanley, Monica R",,," ""<a href='/C05739686/'>Link</a>"" ",1432267200000,HOLDER,H,13,C05739686,"Sat, 15 Sep 2012",HOLDER
176,F-2015-04841,1347681600000,HRC_Email_296,"Hanley, Monica R",,," ""<a href='/C05739645/'>Link</a>"" ",1432267200000,PDB,H,13,C05739645,"Sat, 15 Sep 2012",PDB
125,F-2015-04841,1347681600000,HRC_Email_296,H,,," ""<a href='/C05739664/'>Link</a>"" ",1432267200000,QUESTION AND UPDATE,hanleymr@state.gov,13,C05739664,"Sat, 15 Sep 2012",QUESTION AND UPDATE
155,F-2015-04841,1347681600000,HRC_Email_296,"Hanley, Monica R",,," ""<a href='/C05739675/'>Link</a>"" ",1432267200000,HOLDER,H,13,C05739675,"Sat, 15 Sep 2012",HOLDER
137,F-2015-04841,1347681600000,HRC_Email_296,H,,," ""<a href='/C05739688/'>Link</a>"" ",1432267200000,HOLDER,hanleymr@state.gov,13,C05739688,"Sat, 15 Sep 2012",HOLDER
128,F-2015-04841,1347681600000,HRC_Email_296,H,,," ""<a href='/C05739652/'>Link</a>"" ",1432267200000,SAUDI GRAND MUFTI CALLS ATTACKS ON FOREIGN EMBASSIES UN-ISLAMIC (REUTERS,abedinh@state.gov,13,C05739652,"Sat, 15 Sep 2012",SAUDI GRAND MUFTI CALLS ATTACKS ON FOREIGN EMBASSIES UN-ISLAMIC (REUTERS
195,F-2015-04841,1347681600000,HRC_Email_296,,,," ""<a href='/C05739655/'>Link</a>"" ",1432267200000,CONDOLENCES,H,13,C05739655,"Sat, 15 Sep 2012",CONDOLENCES
186,F-2015-04841,1347681600000,HRC_Email_296,H,,," ""<a href='/C05739680/'>Link</a>"" ",1432267200000,HOLDER,hanleymr@state.gov,13,C05739680,"Sat, 15 Sep 2012",HOLDER
133,F-2015-04841,1347681600000,HRC_Email_296,"Hanley, Monica R",,," ""<a href='/C05739662/'>Link</a>"" ",1432267200000,QUESTION AND UPDATE,H,13,C05739662,"Sat, 15 Sep 2012",QUESTION AND UPDATE
145,F-2015-04841,1347681600000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739648/'>Link</a>"" ",1432267200000,ITEM,H,13,C05739648,"Sat, 15 Sep 2012",ITEM
134,F-2015-04841,1347681600000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739658/'>Link</a>"" ",1432267200000,US INTELLIGENCE WARNED EMBASSY IN EGYPT OF CONCERN ABOUT ANTI-MUSLIM FILM,H,13,C05739658,"Sat, 15 Sep 2012",US INTELLIGENCE WARNED EMBASSY IN EGYPT OF CONCERN ABOUT ANTI-MUSLIM FILM
136,F-2015-04841,1347681600000,HRC_Email_296,H,,," ""<a href='/C05739667/'>Link</a>"" ",1432267200000,PDB,hanleymr@state.gov,13,C05739667,"Sat, 15 Sep 2012",PDB
188,F-2015-04841,1347681600000,HRC_Email_296,"Hanley, Monica R",,," ""<a href='/C05739673/'>Link</a>"" ",1432267200000,PDB,H,13,C05739673,"Sat, 15 Sep 2012",PDB
162,F-2015-04841,1347768000000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739717/'>Link</a>"" ",1432267200000,'STATE OF THE UNION' TRANSCRIPT: U.S. AMBASSADOR TO THE UNITED NATIONS SUSAN RICE,H,14,C05739717,"Sun, 16 Sep 2012",'STATE OF THE UNION' TRANSCRIPT: U.S. AMBASSADOR TO THE UNITED NATIONS SUSAN RICE
122,F-2015-04841,1347768000000,HRC_Email_296,"Hanley, Monica R",,," ""<a href='/C05739692/'>Link</a>"" ",1432267200000,KING OF MOROCCO,H,14,C05739692,"Sun, 16 Sep 2012",KING OF MOROCCO
164,F-2015-04841,1347768000000,HRC_Email_296,"Hanley, Monica R",,," ""<a href='/C05739698/'>Link</a>"" ",1432267200000,KING OF MOROCCO,H,14,C05739698,"Sun, 16 Sep 2012",KING OF MOROCCO
181,F-2015-04841,1347768000000,HRC_Email_296,H,,," ""<a href='/C05739701/'>Link</a>"" ",1432267200000,KING OF MOROCCO,hanleymr@state.gov,14,C05739701,"Sun, 16 Sep 2012",KING OF MOROCCO
171,F-2015-04841,1347768000000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739716/'>Link</a>"" ",1432267200000,'MEET THE PRESS' TRANSCRIPT: U.S. AMBASSADOR TO THE UNITED NATIONS SUSAN RICE,H,14,C05739716,"Sun, 16 Sep 2012",'MEET THE PRESS' TRANSCRIPT: U.S. AMBASSADOR TO THE UNITED NATIONS SUSAN RICE
173,F-2015-04841,1347768000000,HRC_Email_296,H,,," ""<a href='/C05739693/'>Link</a>"" ",1432267200000,KING OF MOROCCO,hanleymr@state.gov,14,C05739693,"Sun, 16 Sep 2012",KING OF MOROCCO
161,F-2015-04841,1347768000000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739728/'>Link</a>"" ",1432267200000,'MEET THE PRESS' TRANSCRIPT: U.S. AMBASSADOR TO THE UNITED NATIONS SUSAN RICE,H,14,C05739728,"Sun, 16 Sep 2012",'MEET THE PRESS' TRANSCRIPT: U.S. AMBASSADOR TO THE UNITED NATIONS SUSAN RICE
116,F-2015-04841,1347768000000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739704/'>Link</a>"" ",1432267200000,"RICE ON ""THIS WEEK""",H,14,C05739704,"Sun, 16 Sep 2012","RICE ON ""THIS WEEK"""
159,F-2015-04841,1347768000000,HRC_Email_296,H,,," ""<a href='/C05739708/'>Link</a>"" ",1432267200000,VISAS OBTAINED,millscd@state.gov,14,C05739708,"Sun, 16 Sep 2012",VISAS OBTAINED
158,F-2015-04841,1347768000000,HRC_Email_296,H,,," ""<a href='/C05739695/'>Link</a>"" ",1432267200000,KING OF MOROCCO,hanleymr@state.gov,14,C05739695,"Sun, 16 Sep 2012",KING OF MOROCCO
130,F-2015-04841,1347768000000,HRC_Email_296,H,,," ""<a href='/C05739722/'>Link</a>"" ",1432267200000,'MEET THE PRESS' TRANSCRIPT: U.S. AMBASSADOR TO THE UNITED NATIONS SUSAN RICE,sullivanjj@state.gov,14,C05739722,"Sun, 16 Sep 2012",'MEET THE PRESS' TRANSCRIPT: U.S. AMBASSADOR TO THE UNITED NATIONS SUSAN RICE
132,F-2015-04841,1347768000000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739706/'>Link</a>"" ",1432267200000,VISAS OBTAINED,H,14,C05739706,"Sun, 16 Sep 2012",VISAS OBTAINED
144,F-2015-04841,1347768000000,HRC_Email_296,H,,," ""<a href='/C05739689/'>Link</a>"" ",1432267200000,HOLDER,hanleymr@state.gov,14,C05739689,"Sun, 16 Sep 2012",HOLDER
142,F-2015-04841,1347768000000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739730/'>Link</a>"" ",1432267200000,MEANT TO EMAIL EARLIER,H,14,C05739730,"Sun, 16 Sep 2012",MEANT TO EMAIL EARLIER
153,F-2015-04841,1347854400000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739735/'>Link</a>"" ",1432267200000,VIDEO SHOWS LIBYANS HELPING RESCUE US AMBASSADOR AFTER ATTACK (REUTERS,H,3,C05739735,"Mon, 17 Sep 2012",VIDEO SHOWS LIBYANS HELPING RESCUE US AMBASSADOR AFTER ATTACK (REUTERS
165,F-2015-04841,1347854400000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739737/'>Link</a>"" ",1432267200000,LES GELB ON THE OBAMA RESPONSE,H,3,C05739737,"Mon, 17 Sep 2012",LES GELB ON THE OBAMA RESPONSE
150,F-2015-04841,1347854400000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739731/'>Link</a>"" ",1432267200000,THANKS,H,3,C05739731,"Mon, 17 Sep 2012",THANKS
120,F-2015-04841,1347940800000,HRC_Email_296,"Verveer, Melanne S",,," ""<a href='/C05739739/'>Link</a>"" ",1432267200000,NATO,H,1,C05739739,"Tue, 18 Sep 2012",NATO
118,F-2015-04841,1348027200000,HRC_Email_296,H,,," ""<a href='/C05739747/'>Link</a>"" ",1432267200000,ANDREW SULLIVAN WITH THE HILLARY LOVE,,1,C05739747,"Wed, 19 Sep 2012",ANDREW SULLIVAN WITH THE HILLARY LOVE
172,F-2015-04841,1348113600000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739756/'>Link</a>"" ",1432267200000,WSJ - MISCUES BEFORE LIBYA ASSAULT,H,2,C05739756,"Thu, 20 Sep 2012",WSJ - MISCUES BEFORE LIBYA ASSAULT
124,F-2015-04841,1348113600000,HRC_Email_296,"Coleman, Claire L",,," ""<a href='/C05739753/'>Link</a>"" ",1432267200000,"MINI FOR TODAY-THURSDAY, SEPT 20, 2012",H,2,C05739753,"Thu, 20 Sep 2012","MINI FOR TODAY-THURSDAY, SEPT 20, 2012"
149,F-2015-04841,1348200000000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739760/'>Link</a>"" ",1432267200000,ANYTHING TO REPORT?,H,3,C05739760,"Fri, 21 Sep 2012",ANYTHING TO REPORT?
192,F-2015-04841,1348200000000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739757/'>Link</a>"" ",1432267200000,LIBYANS MARCH AGAINST ISLAMIST MILITIAS IN BENGHAZI,H,3,C05739757,"Fri, 21 Sep 2012",LIBYANS MARCH AGAINST ISLAMIST MILITIAS IN BENGHAZI
178,F-2015-04841,1348200000000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739764/'>Link</a>"" ",1432267200000,PROTESTERS STORM MAIN ISLAMIST MILITIA HQ IN LIBYA'S BENGHAZI (REUTERS,H,3,C05739764,"Fri, 21 Sep 2012",PROTESTERS STORM MAIN ISLAMIST MILITIA HQ IN LIBYA'S BENGHAZI (REUTERS
99,F-2015-04841,1348286400000,HRC_Email_296,H,,," ""<a href='/C05739775/'>Link</a>"" ",1432267200000,CGI DRAFT V3 092212.DOCX,"Flores, Oscar",3,C05739775,"Sat, 22 Sep 2012",CGI DRAFT V3 092212.DOCX
98,F-2015-04841,1348286400000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739767/'>Link</a>"" ",1432267200000,CGI DRAFT V3 092212.DOCX,H,3,C05739767,"Sat, 22 Sep 2012",CGI DRAFT V3 092212.DOCX
141,F-2015-04841,1348286400000,HRC_Email_296,PIR,,," ""<a href='/C05739766/'>Link</a>"" ",1432267200000,LIBYA,H,3,C05739766,"Sat, 22 Sep 2012",LIBYA
194,F-2015-04841,1348372800000,HRC_Email_296,H,,," ""<a href='/C05739788/'>Link</a>"" ",1432267200000,FW:,hanleymr@state.gov,8,C05739788,"Sun, 23 Sep 2012",FW:
140,F-2015-04841,1348372800000,HRC_Email_296,H,,," ""<a href='/C05739778/'>Link</a>"" ",1432267200000,NOT A DRY EYE IN NEA,hanleymr@state.gov,8,C05739778,"Sun, 23 Sep 2012",NOT A DRY EYE IN NEA
148,F-2015-04841,1348372800000,HRC_Email_296,H,,," ""<a href='/C05739781/'>Link</a>"" ",1432267200000,S TODAY,hanleymr@state.gov,8,C05739781,"Sun, 23 Sep 2012",S TODAY
168,F-2015-04841,1348372800000,HRC_Email_296,H,,," ""<a href='/C05739798/'>Link</a>"" ",1432267200000,LIBYANS MARCH AGAINST ISLAMIST MILITIAS IN BENGHAZI,hanleymr@state.gov,8,C05739798,"Sun, 23 Sep 2012",LIBYANS MARCH AGAINST ISLAMIST MILITIAS IN BENGHAZI
157,F-2015-04841,1348372800000,HRC_Email_296,H,,," ""<a href='/C05739790/'>Link</a>"" ",1432267200000,THANKS,hanleymr@state.gov,8,C05739790,"Sun, 23 Sep 2012",THANKS
119,F-2015-04841,1348372800000,HRC_Email_296,H,,," ""<a href='/C05739791/'>Link</a>"" ",1432267200000,THANKS,hanleymr@state.gov,8,C05739791,"Sun, 23 Sep 2012",THANKS
97,F-2015-04841,1348372800000,HRC_Email_296,H,,," ""<a href='/C05739793/'>Link</a>"" ",1432267200000,REMARKS,hanleymr@state.gov,8,C05739793,"Sun, 23 Sep 2012",REMARKS
108,F-2015-04841,1348372800000,HRC_Email_296,H,,," ""<a href='/C05739785/'>Link</a>"" ",1432267200000,H: MORSI'S PRIVATE CONVERSATIONS TODAY. SID,hanleymr@state.gov,8,C05739785,"Sun, 23 Sep 2012",H: MORSI'S PRIVATE CONVERSATIONS TODAY. SID
189,F-2015-04841,1348459200000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739812/'>Link</a>"" ",1432267200000,BENHAZI/PROTEST STATEMENTS,H,3,C05739812,"Mon, 24 Sep 2012",BENHAZI/PROTEST STATEMENTS
170,F-2015-04841,1348459200000,HRC_Email_296,"Hanley, Monica R",,," ""<a href='/C05739801/'>Link</a>"" ",1432267200000,EDITS,"Sullivan, Jacob J",3,C05739801,"Mon, 24 Sep 2012",EDITS
100,F-2015-04841,1348459200000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739815/'>Link</a>"" ",1432267200000,FELTMAN TIDBITS,H,3,C05739815,"Mon, 24 Sep 2012",FELTMAN TIDBITS
190,F-2015-04841,1348545600000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739816/'>Link</a>"" ",1432267200000,OUR EXCHANGE,H,1,C05739816,"Tue, 25 Sep 2012",OUR EXCHANGE
179,F-2015-04841,1348632000000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739818/'>Link</a>"" ",1432267200000,NYT: CLINTON CITES CLEAR LINK BETWE,H,1,C05739818,"Wed, 26 Sep 2012",NYT: CLINTON CITES CLEAR LINK BETWE
117,F-2015-04841,1348718400000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739821/'>Link</a>"" ",1432267200000,FW:,H,3,C05739821,"Thu, 27 Sep 2012",FW:
183,F-2015-04841,1348718400000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739829/'>Link</a>"" ",1432267200000,GOOGLE AND YOUTUBE,H,3,C05739829,"Thu, 27 Sep 2012",GOOGLE AND YOUTUBE
180,F-2015-04841,1348718400000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739826/'>Link</a>"" ",1432267200000,ISAKSON/CORKER LETTER,H,3,C05739826,"Thu, 27 Sep 2012",ISAKSON/CORKER LETTER
138,F-2015-04841,1348804800000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739831/'>Link</a>"" ",1432267200000,ARB PANEL,H,2,C05739831,"Fri, 28 Sep 2012",ARB PANEL
113,F-2015-04841,1348804800000,HRC_Email_296,"Mills, Cheryl D",,," ""<a href='/C05739832/'>Link</a>"" ",1432267200000,DNI STATEMENT,H,2,C05739832,"Fri, 28 Sep 2012",DNI STATEMENT
126,F-2015-04841,1348977600000,HRC_Email_296,H,,," ""<a href='/C05739833/'>Link</a>"" ",1432267200000,BILL KELLER PIECE,"Flores, Oscar",2,C05739833,"Sun, 30 Sep 2012",BILL KELLER PIECE
33,F-2015-04841,1348977600000,HRC_Email_296,H,,," ""<a href='/C05739610/'>Link</a>"" ",1432267200000,BENHAZI/PROTEST STATEMENTS,"Flores, Oscar",2,C05739610,"Sun, 30 Sep 2012",BENHAZI/PROTEST STATEMENTS
36,F-2015-04841,1349064000000,HRC_Email_296,H,,," ""<a href='/C05739627/'>Link</a>"" ",1432267200000,H: ROMNEY'S LAST GAMBIT. GOT DONE AND PUBLISHED. SID,sullivanjj@state.gov,6,C05739627,"Mon, 01 Oct 2012",H: ROMNEY'S LAST GAMBIT. GOT DONE AND PUBLISHED. SID
46,F-2015-04841,1349064000000,HRC_Email_296,H,,," ""<a href='/C05739618/'>Link</a>"" ",1432267200000,H: ROMNEY'S LAST GAMBIT. GOT DONE AND PUBLISHED. SID,sullivanjj@state.gov,6,C05739618,"Mon, 01 Oct 2012",H: ROMNEY'S LAST GAMBIT. GOT DONE AND PUBLISHED. SID
81,F-2015-04841,1349064000000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739629/'>Link</a>"" ",1432267200000,H: ROMNEY'S LAST GAMBIT. GOT DONE AND PUBLISHED. SID,H,6,C05739629,"Mon, 01 Oct 2012",H: ROMNEY'S LAST GAMBIT. GOT DONE AND PUBLISHED. SID
65,F-2015-04841,1349064000000,HRC_Email_296,"Blumenthal, Sidney",,," ""<a href='/C05739623/'>Link</a>"" ",1432267200000,H: ROMNEY'S LAST GAMBIT. GOT DONE AND PUBLISHED. SID,H,6,C05739623,"Mon, 01 Oct 2012",H: ROMNEY'S LAST GAMBIT. GOT DONE AND PUBLISHED. SID
34,F-2015-04841,1349064000000,HRC_Email_296,"Sullivan, Jacob J",,," ""<a href='/C05739620/'>Link</a>"" ",1432267200000,H: ROMNEY'S LAST GAMBIT. GOT DONE AND PUBLISHED. SID,H,6,C05739620,"Mon, 01 Oct 2012",H: ROMNEY'S LAST GAMBIT. GOT DONE AND PUBLISHED. SID
